date,city,tmax,tmin
2025-06-29,Houston,93.02,75.92
2025-06-30,Houston,93.91999999999999,73.94
2025-07-01,Houston,96.98,75.02000000000001
2025-07-02,Houston,96.08000000000001,77.0
2025-07-03,Houston,93.91999999999999,75.02000000000001
2025-07-04,Houston,91.04,75.02000000000001
2025-07-05,Houston,93.91999999999999,78.08
2025-07-06,Houston,96.08000000000001,75.92
2025-07-07,Houston,95.0,78.08
2025-07-08,Houston,91.04,73.04
2025-07-09,Houston,91.04,73.04
2025-07-10,Houston,95.0,78.08
2025-07-11,Houston,93.02,78.98
2025-07-12,Houston,95.0,78.98
2025-07-13,Houston,95.0,75.92
2025-07-14,Houston,91.94000000000001,73.94
2025-07-15,Houston,95.0,75.92
2025-07-16,Houston,96.98,78.98
2025-04-20,Phoenix,84.02000000000001,57.92
2025-04-21,Phoenix,91.04,62.959999999999994
2025-04-22,Phoenix,95.0,64.04
2025-04-23,Phoenix,91.04,66.02000000000001
2025-04-24,Phoenix,91.94000000000001,64.94
2025-04-25,Phoenix,93.91999999999999,66.02000000000001
2025-04-26,Phoenix,86.0,64.94
2025-04-27,Phoenix,80.06,62.059999999999995
2025-04-28,Phoenix,82.04,59.0
2025-04-29,Phoenix,87.98,62.959999999999994
2025-04-30,Phoenix,91.04,64.04
2025-05-01,Phoenix,93.91999999999999,68.0
2025-05-02,Phoenix,93.91999999999999,71.06
2025-05-03,Phoenix,96.98,69.98
2025-05-04,Phoenix,82.94,64.94
2025-05-05,Phoenix,73.94,59.0
2025-05-06,Phoenix,77.0,62.059999999999995
2025-05-07,Phoenix,86.0,64.94
2025-05-08,Phoenix,95.0,66.02000000000001
2025-05-09,Phoenix,104.0,73.04
2025-05-10,Phoenix,102.92,78.08
2025-05-11,Phoenix,104.0,77.0
2025-05-12,Phoenix,100.94000000000001,80.06
2025-05-13,Phoenix,89.96000000000001,75.02000000000001
2025-05-14,Phoenix,84.02000000000001,66.02000000000001
2025-05-15,Phoenix,89.06,64.94
2025-05-16,Phoenix,93.91999999999999,66.92
2025-05-17,Phoenix,95.0,69.98
2025-05-18,Phoenix,86.0,66.92
2025-05-19,Phoenix,93.91999999999999,69.98
2025-05-20,Phoenix,98.96000000000001,69.98
2025-05-21,Phoenix,102.02000000000001,71.06
2025-05-22,Phoenix,105.98,73.94
2025-05-23,Phoenix,102.92,73.94
2025-05-24,Phoenix,100.04,75.02000000000001
2025-05-25,Phoenix,98.06,73.04
2025-05-26,Phoenix,100.04,73.04
2025-05-27,Phoenix,100.94000000000001,75.02000000000001
2025-05-28,Phoenix,102.92,73.94
2025-05-29,Phoenix,100.94000000000001,78.98
2025-05-30,Phoenix,104.0,73.04
2025-05-31,Phoenix,102.02000000000001,82.04
2025-06-01,Phoenix,91.04,69.08
2025-06-02,Phoenix,89.06,66.92
2025-06-03,Phoenix,96.98,78.08
2025-06-04,Phoenix,95.0,75.02000000000001
2025-06-05,Phoenix,100.94000000000001,78.08
2025-06-06,Phoenix,104.0,80.06
2025-06-07,Phoenix,104.0,80.06
2025-06-08,Phoenix,107.06,78.98
2025-06-09,Phoenix,109.04,80.06
2025-06-10,Phoenix,107.96000000000001,80.96000000000001
2025-06-11,Phoenix,107.96000000000001,82.94
2025-06-12,Phoenix,107.96000000000001,84.02000000000001
2025-06-13,Phoenix,107.96000000000001,82.04
2025-06-14,Phoenix,109.94000000000001,82.04
2025-06-15,Phoenix,114.08000000000001,80.96000000000001
2025-06-16,Phoenix,114.08000000000001,82.94
2025-06-17,Phoenix,109.94000000000001,86.0
2025-06-18,Phoenix,114.08000000000001,82.94
2025-06-19,Phoenix,116.96000000000001,84.92
2025-06-20,Phoenix,109.94000000000001,84.02000000000001
2025-06-21,Phoenix,105.98,82.04
2025-06-22,Phoenix,98.96000000000001,78.98
2025-06-23,Phoenix,104.0,80.06
2025-06-24,Phoenix,105.08000000000001,80.96000000000001
2025-06-25,Phoenix,102.92,78.98
2025-06-26,Phoenix,105.08000000000001,80.96000000000001
2025-06-27,Phoenix,107.06,82.04
2025-06-28,Phoenix,109.04,87.08000000000001
2025-06-29,Phoenix,114.08000000000001,87.08000000000001
2025-06-30,Phoenix,116.06,89.96000000000001
2025-07-01,Phoenix,111.92,93.02
2025-07-02,Phoenix,109.04,78.08
2025-07-03,Phoenix,102.02000000000001,78.08
2025-07-04,Phoenix,102.92,82.04
2025-07-05,Phoenix,107.06,86.0
2025-07-06,Phoenix,109.94000000000001,86.0
2025-07-07,Phoenix,111.02000000000001,91.04
2025-07-08,Phoenix,111.92,91.94000000000001
2025-07-09,Phoenix,118.04,93.02
2025-07-10,Phoenix,113.0,95.0
2025-07-11,Phoenix,111.02000000000001,89.96000000000001
2025-07-12,Phoenix,107.96000000000001,87.98
2025-07-13,Phoenix,107.96000000000001,89.96000000000001
